id,brand,type,inventory,daily_fee
1,Toyota Camry,SEDAN,10,50.00
2,Honda CR-V,SUV,15,60.00
3,Ford Focus,HATCHBACK,20,70.00
4,Chevrolet Malibu,UNIVERSAL,25,80.00
5,Hyundai Sonata,SEDAN,30,90.00
6,Toyota RAV4,SUV,35,100.00
7,Honda Civic,HATCHBACK,40,110.00
8,Ford Mustang,UNIVERSAL,45,120.00
9,Chevrolet Impala,SEDAN,50,130.00
10,Hyundai Tucson,SUV,55,140.00
11,Toyota Corolla,HATCHBACK,60,150.00
12,Honda Accord,UNIVERSAL,65,160.00
13,Ford F-150,SEDAN,70,170.00
14,Chevrolet Tahoe,SUV,75,180.00
15,Hyundai Elantra,HATCHBACK,80,190.00
16,Toyota Highlander,UNIVERSAL,85,200.00
17,Honda Odyssey,SEDAN,90,210.00
18,Ford Explorer,SUV,95,220.00
19,Chevrolet Silverado,HATCHBACK,100,230.00
20,Hyundai Santa Fe,UNIVERSAL,105,240.00
21,Toyota Camry Hybrid,SEDAN,110,250.00
22,Honda Pilot,SUV,115,260.00
23,Ford Fusion,HATCHBACK,120,270.00
24,Chevrolet Corvette,UNIVERSAL,125,280.00
25,Hyundai Genesis,SEDAN,130,290.00
26,Toyota Sienna,SUV,135,300.00
27,Honda Ridgeline,HATCHBACK,140,310.00
28,Ford Taurus,UNIVERSAL,145,320.00
29,Chevrolet Camaro,SEDAN,150,330.00
30,Hyundai Veloster,SUV,155,340.00
31,Toyota Prius,HATCHBACK,160,350.00
32,Honda HR-V,UNIVERSAL,165,360.00
33,Ford Fiesta,SEDAN,170,370.00
34,Chevrolet Spark,SUV,175,380.00
35,Hyundai Accent,HATCHBACK,180,390.00
36,Toyota 4Runner,UNIVERSAL,185,400.00
37,Honda Fit,SEDAN,190,410.00
38,Ford Escape,SUV,195,420.00
39,Chevrolet Sonic,HATCHBACK,200,430.00